Scenario Number,Iteration Number,Agent Number,Number of collected targets,Number of Steps,Agent Happiness,Maximum Happiness,Minumum Happiness,Average Happiness,Standard Deviation,Agent Competitiveness
1,8260,Agent A: WHITE,3,8260,0.0003631521607553565,0.0006052536012589275,0.0003631521607553565,0.0004357825929064278,0.00010827105568332111,0.0
1,8260,Agent B: RED,3,8260,0.0003631521607553565,0.0006052536012589275,0.0003631521607553565,0.0004357825929064278,0.00010827105568332111,0.0
1,8260,Agent C: GREEN,4,8260,0.000484202881007142,0.0006052536012589275,0.0003631521607553565,0.0004357825929064278,0.00010827105568332111,0.5000000000000001
1,8260,Agent D: BLUE,5,8260,0.0006052536012589275,0.0006052536012589275,0.0003631521607553565,0.0004357825929064278,0.00010827105568332111,1.0
1,8260,Agent E: YELLOW,3,8260,0.0003631521607553565,0.0006052536012589275,0.0003631521607553565,0.0004357825929064278,0.00010827105568332111,0.0
2,2198,Agent A: WHITE,5,2214,0.002273760800363802,0.019455252918287938,0.002257336343115124,0.005931441770589035,0.007569210851994615,0.0009550259868331062
2,2214,Agent B: RED,5,2214,0.002257336343115124,0.019455252918287938,0.002257336343115124,0.005931441770589035,0.007569210851994615,0.0
2,1574,Agent C: GREEN,5,2214,0.0031746031746031746,0.019455252918287938,0.002257336343115124,0.005931441770589035,0.007569210851994615,0.05333592749323088
2,2002,Agent D: BLUE,5,2214,0.0024962556165751375,0.019455252918287938,0.002257336343115124,0.005931441770589035,0.007569210851994615,0.013892338203624106
2,256,Agent E: YELLOW,5,2214,0.019455252918287938,0.019455252918287938,0.002257336343115124,0.005931441770589035,0.007569210851994615,1.0
3,505,Agent A: WHITE,3,505,0.005928853754940711,0.009881422924901186,0.003952569169960474,0.006719367588932805,0.0022533111167967156,0.33333333333333326
3,505,Agent B: RED,5,505,0.009881422924901186,0.009881422924901186,0.003952569169960474,0.006719367588932805,0.0022533111167967156,1.0
3,505,Agent C: GREEN,2,505,0.003952569169960474,0.009881422924901186,0.003952569169960474,0.006719367588932805,0.0022533111167967156,0.0
3,505,Agent D: BLUE,4,505,0.007905138339920948,0.009881422924901186,0.003952569169960474,0.006719367588932805,0.0022533111167967156,0.6666666666666665
3,505,Agent E: YELLOW,3,505,0.005928853754940711,0.009881422924901186,0.003952569169960474,0.006719367588932805,0.0022533111167967156,0.33333333333333326
1,9510,Agent A: WHITE,5,9510,0.0005257070760172432,0.0005257070760172432,0.00031542424561034594,0.00042056566081379455,7.43462076739089e-05,1.0
1,9510,Agent B: RED,4,9510,0.00042056566081379455,0.0005257070760172432,0.00031542424561034594,0.00042056566081379455,7.43462076739089e-05,0.4999999999999999
1,9510,Agent C: GREEN,4,9510,0.00042056566081379455,0.0005257070760172432,0.00031542424561034594,0.00042056566081379455,7.43462076739089e-05,0.4999999999999999
1,9510,Agent D: BLUE,3,9510,0.00031542424561034594,0.0005257070760172432,0.00031542424561034594,0.00042056566081379455,7.43462076739089e-05,0.0
1,9510,Agent E: YELLOW,4,9510,0.00042056566081379455,0.0005257070760172432,0.00031542424561034594,0.00042056566081379455,7.43462076739089e-05,0.4999999999999999
2,919,Agent A: WHITE,5,6359,0.005434782608695652,0.005434782608695652,0.0007861635220125787,0.0036679340694826855,0.00185555342344092,1.0
2,966,Agent B: RED,5,6359,0.005170630816959669,0.005434782608695652,0.0007861635220125787,0.0036679340694826855,0.00185555342344092,0.9431762880953829
2,1406,Agent C: GREEN,5,6359,0.0035536602700781805,0.005434782608695652,0.0007861635220125787,0.0036679340694826855,0.00185555342344092,0.5953373886868181
2,6359,Agent D: BLUE,5,6359,0.0007861635220125787,0.005434782608695652,0.0007861635220125787,0.0036679340694826855,0.00185555342344092,0.0
2,1472,Agent E: YELLOW,5,6359,0.0033944331296673455,0.005434782608695652,0.0007861635220125787,0.0036679340694826855,0.00185555342344092,0.5610848208937342
3,1309,Agent A: WHITE,3,1309,0.0022900763358778627,0.003816793893129771,0.0015267175572519084,0.0025954198473282443,0.000870362919923006,0.3333333333333334
3,1309,Agent B: RED,2,1309,0.0015267175572519084,0.003816793893129771,0.0015267175572519084,0.0025954198473282443,0.000870362919923006,0.0
3,1309,Agent C: GREEN,3,1309,0.0022900763358778627,0.003816793893129771,0.0015267175572519084,0.0025954198473282443,0.000870362919923006,0.3333333333333334
3,1309,Agent D: BLUE,4,1309,0.0030534351145038168,0.003816793893129771,0.0015267175572519084,0.0025954198473282443,0.000870362919923006,0.6666666666666667
3,1309,Agent E: YELLOW,5,1309,0.003816793893129771,0.003816793893129771,0.0015267175572519084,0.0025954198473282443,0.000870362919923006,1.0
